"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count
38376,Ecully,ecully,,120,"Magasin de matériel de cuisine",magasin-de-materiel-de-cuisine,
38378,"Services de réparation de smartphones",services-de-reparation-de-smartphones,,,,,
38379,"Services de réparation électronique",services-de-reparation-electronique,,,,,
38380,Paris,paris-magasin-de-materiel-de-cuisine,,120,"Magasin de matériel de cuisine",magasin-de-materiel-de-cuisine,
38381,"Services de maintenance",services-de-maintenance,,,,,
38382,"Travaux de rénovation et aménagement intérieur et extérieur",travaux-de-renovation-et-amenagement-interieur-et-exterieur,,,,,
38386,"Travaux de rénovation intérieure et extérieure pour particuliers et professionnels",travaux-de-renovation-interieure-et-exterieure-pour-particuliers-et-professionnels,,,,,
38387,"Fournisseur de tabac",fournisseur-de-tabac,,,,,
38389,"Boutique en ligne de sacoches et accessoires",boutique-en-ligne-de-sacoches-et-accessoires,,,,,
38390,"Magasin de jouets pour enfants",magasin-de-jouets-pour-enfants,,,,,
38391,"Maîtrise d’œuvre et coordination de chantiers",maitrise-doeuvre-et-coordination-de-chantiers-travaux-generaux,,2694,"Travaux généraux",travaux-generaux,
38392,"Boutique en ligne de mode et accessoires inspirés des grandes marques",boutique-en-ligne-de-mode-et-accessoires-inspires-des-grandes-marques,,,,,
38393,"hébergement et partage d’images en ligne",hebergement-et-partage-dimages-en-ligne,,,,,
38394,"Rénovation et second œuvre",renovation-et-second-oeuvre-travaux-generaux,,2694,"Travaux généraux",travaux-generaux,
38396,"Services domestiques",services-domestiques,,,,,
38397,"Vente à distance de produits capillaires haut de gamme",vente-a-distance-de-produits-capillaires-haut-de-gamme,,,,,
38398,"Décoration et accessoires pour enfants ",decoration-et-accessoires-pour-enfants,,,,,
38399,"Rénovation énergétique et amélioration de l’habitat",renovation-energetique-et-amelioration-de-lhabitat-travaux-generaux,,2694,"Travaux généraux",travaux-generaux,
38400,"Vente en ligne de dispositifs bien-être et beauté corporelle",vente-en-ligne-de-dispositifs-bien-etre-et-beaute-corporelle,,,,,
38401,"Mobilier et aménagement intérieur sur mesure",mobilier-et-amenagement-interieur-sur-mesure,,,,,
38402,"salon de toilettage pour chiens et chats",salon-de-toilettage-pour-chiens-et-chats,,,,,
38404,"Vente en ligne de vêtements streetwear et accessoires urbains",vente-en-ligne-de-vetements-streetwear-et-accessoires-urbains,,,,,
38405,"confection artisanale de vêtements et accessoires pour chiens",confection-artisanale-de-vetements-et-accessoires-pour-chiens,,,,,
38406,"Objets décoratifs et mobilier sur mesure  ",objets-decoratifs-et-mobilier-sur-mesure,,,,,
38407,"conciergerie animalière personnalisée",conciergerie-animaliere-personnalisee,,,,,
38408,"Impressions murales et créations personnalisées",impressions-murales-et-creations-personnalisees,,,,,
38409,"Personnalisation textile et objets sur mesure",personnalisation-textile-et-objets-sur-mesure,,,,,
38410,"rénovation traitement et entretien de toitures",renovation-traitement-et-entretien-de-toitures,,,,,
38411,"Papeterie et décoration d’intérieur",papeterie-et-decoration-dinterieur,,,,,
